Taxon	Level	Annot	Sample_type	F6_her	F6_abund	F6_pnull	F7_her	F7_abund	F7_pnull
Otu23435	OTUs	Firmicutes;Clostridia;Clostridiales	D120	NA	NA	NA	0	0.001	78.02
Otu23435	OTUs	Firmicutes;Clostridia;Clostridiales	D240	NA	NA	NA	0	0.002	70.45
Otu23440	OTUs	Firmicutes;Clostridia;Clostridiales	D120	0.0101	0.002	73.89	0.0712	0.005	49.88
Otu23440	OTUs	Firmicutes;Clostridia;Clostridiales	D240	0.0002	0.002	71.72	0.0529	0.006	37.46
Otu23448	OTUs	Proteobacteria;Betaproteobacteria;Tremblayales	CC	NA	NA	NA	0.0092	0.002	79.28
Otu23454	OTUs	Firmicutes;Clostridia;Clostridiales	D240	0	0.003	70.62	0.0829	0.002	77.49
Otu23454	OTUs	Firmicutes;Clostridia;Clostridiales	CC	0.0126	0.004	70.55	NA	NA	NA
Otu23459	OTUs	Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae	D25	0.5228	0.475	28.4	0.2496	0.385	56.47
Otu23459	OTUs	Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae	CC	NA	NA	NA	0.1145	0.05	79.43
Otu23459	OTUs	Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae	IC	0	0.024	79.86	0.0567	0.225	75
Otu23462	OTUs	Bacteria	D240	NA	NA	NA	0	0.001	78.01
Otu23467	OTUs	Synergistetes;Synergistia;Synergistales;Dethiosulfovibrionaceae;Pyramidobacter;Pyramidobacter_piscolens	D25	0	0.277	27.16	0.1359	0.422	57.76
Otu23469	OTUs	Bacteria	D120	NA	NA	NA	0.047	0.002	71.36
Otu23469	OTUs	Bacteria	D240	0	0.002	75.67	0.0093	0.004	50.69
Otu23475	OTUs	Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae	D25	0	0.046	50.62	0	0.054	70.69
Otu23482	OTUs	Firmicutes;Clostridia;Clostridiales	D120	NA	NA	NA	0.0236	0.001	78.02
Otu23482	OTUs	Firmicutes;Clostridia;Clostridiales	D240	NA	NA	NA	0	0.001	78.69
Otu23485	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D120	NA	NA	NA	0.1015	0.003	66.91
Otu23485	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D240	NA	NA	NA	0.0698	0.003	69.07
Otu23490	OTUs	Lentisphaerae;Lentisphaeria;Z20;R4-45B	D25	NA	0.042	35.8	0.0125	0.048	50
Otu23490	OTUs	Lentisphaerae;Lentisphaeria;Z20;R4-45B	D120	0.0226	0.028	44.42	0	0.036	39.51
Otu23490	OTUs	Lentisphaerae;Lentisphaeria;Z20;R4-45B	D240	0.1505	0.024	48.66	0.2279	0.035	34.19
Otu23490	OTUs	Lentisphaerae;Lentisphaeria;Z20;R4-45B	CC	0.116	0.004	77.4	0.0969	0.003	78.18
Otu23498	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D120	NA	NA	NA	0	0.005	78.77
Otu23498	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D240	0.0103	0.03	18.01	0	0.034	16.32
Otu23498	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	CC	0	0.01	46.23	0	0.005	60.28
Otu235	OTUs	Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Facklamia	IC	0.2203	0.016	59.38	0	0.004	72.55
Otu23522	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D120	NA	NA	NA	0.1211	0.002	76.05
Otu23522	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D240	NA	NA	NA	0.1015	0.002	71.82
Otu23523	OTUs	Firmicutes;Clostridia;Clostridiales	D120	0.1118	0.004	71.37	0.0744	0.003	62.72
Otu23523	OTUs	Firmicutes;Clostridia;Clostridiales	D240	0.0095	0.006	52.61	0.0307	0.007	42.78
Otu23523	OTUs	Firmicutes;Clostridia;Clostridiales	CC	0	0.002	74.66	0.0507	0.002	73.47
Otu23525	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira	D25	0.1404	0.002	79.01	NA	NA	NA
Otu2354	OTUs	Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus	D25	0.2264	0.028	67.9	0	0.005	75.86
Otu2354	OTUs	Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus	CC	0	0.02	41.44	0.1051	0.023	45.21
Otu2354	OTUs	Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus	IC	0	0.444	17.01	0.0923	0.495	14.46
Otu23542	OTUs	Lentisphaerae;Lentisphaeria;Z20;R4-45B	D240	NA	NA	NA	0.0662	0.001	79.04
Otu23557	OTUs	Firmicutes;Clostridia;Clostridiales	D120	NA	NA	NA	0	0.002	79.26
Otu23557	OTUs	Firmicutes;Clostridia;Clostridiales	D240	NA	NA	NA	0.0191	0.002	73.2
Otu23560	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira	D25	NA	NA	NA	0	0.01	63.36
Otu23560	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira	D120	NA	NA	NA	0	0.002	75.8
Otu23561	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D25	NA	NA	NA	0	0.004	77.16
Otu23566	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira	D25	0	0.003	76.54	0	0.017	41.38
Otu23566	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira	D120	NA	NA	NA	0.0285	0.003	67.41
Otu23572	OTUs	Firmicutes;Clostridia;Clostridiales	D25	NA	NA	NA	0.0791	0.004	71.12
Otu23572	OTUs	Firmicutes;Clostridia;Clostridiales	D120	0	0.003	69.26	0	0.006	39.26
Otu23572	OTUs	Firmicutes;Clostridia;Clostridiales	D240	0.035	0.002	72.2	0.0802	0.006	40.38
Otu23572	OTUs	Firmicutes;Clostridia;Clostridiales	CC	NA	NA	NA	0.0336	0.002	71.11
Otu23573	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D240	NA	NA	NA	0.0426	0.001	79.38
Otu23582	OTUs	Firmicutes;Clostridia;Clostridiales	D25	0.1185	0.008	53.09	0	0.016	52.59
Otu23582	OTUs	Firmicutes;Clostridia;Clostridiales	D120	0.0422	0.003	64.21	0	0.009	38.02
Otu23582	OTUs	Firmicutes;Clostridia;Clostridiales	D240	0.0571	0.003	63.35	0.1157	0.007	46.22
Otu23582	OTUs	Firmicutes;Clostridia;Clostridiales	CC	NA	NA	NA	0.024	0.003	75.2
Otu23583	OTUs	Firmicutes;Clostridia;Clostridiales	D120	0.0626	0.002	73.47	0.0524	0.004	51.85
Otu23583	OTUs	Firmicutes;Clostridia;Clostridiales	D240	0.0797	0.003	61.45	0.0059	0.005	48.11
Otu23583	OTUs	Firmicutes;Clostridia;Clostridiales	CC	NA	NA	NA	0.0652	0.002	73.63
Otu23588	OTUs	Firmicutes;Clostridia;Clostridiales	D120	NA	NA	NA	0	0.003	64.94
Otu23588	OTUs	Firmicutes;Clostridia;Clostridiales	D240	0.0393	0.002	79.62	0.0463	0.003	64.78
Otu236	OTUs	Tenericutes;Mollicutes;RF39	D120	0	0.006	74.32	0.0501	0.003	79.26
Otu23616	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D25	0.1202	0.011	75.31	0	0.042	53.88
Otu23631	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D25	NA	NA	NA	0	0.002	79.31
Otu23631	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D120	0.0487	0.006	48	0.0014	0.008	39.51
Otu23631	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D240	0.0711	0.004	57.5	0.0604	0.006	43.99
Otu23631	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	CC	NA	NA	NA	0	0.001	78.65
Otu23644	OTUs	Firmicutes;Clostridia;Clostridiales	D120	NA	NA	NA	0.0316	0.002	66.42
Otu23644	OTUs	Firmicutes;Clostridia;Clostridiales	D240	0.0272	0.002	75.2	0	0.003	63.23
Otu23664	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D120	NA	NA	NA	0.1111	0.001	80
Otu23664	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D240	NA	NA	NA	0.0286	0.002	74.05
Otu23671	OTUs	Bacteroidetes	D120	NA	NA	NA	0	0.002	76.79
Otu23671	OTUs	Bacteroidetes	D240	NA	NA	NA	0	0.002	73.37
Otu23673	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D25	0	0.006	64.2	0	0.01	58.62
Otu23675	OTUs	Firmicutes;Clostridia;Clostridiales	D120	0	0.01	43.58	0.0432	0.018	25.93
Otu23675	OTUs	Firmicutes;Clostridia;Clostridiales	D240	0.0307	0.054	2.53	0.1357	0.057	3.09
Otu23675	OTUs	Firmicutes;Clostridia;Clostridiales	CC	0	0.022	19.86	0.0837	0.023	29.83
Otu237	OTUs	Tenericutes;Mollicutes;RF39	D120	0.0705	0.004	62.74	0.0364	0.002	71.6
Otu237	OTUs	Tenericutes;Mollicutes;RF39	D240	0.0227	0.002	78.36	0	0.002	75.26
Otu237	OTUs	Tenericutes;Mollicutes;RF39	CC	0.0495	0.002	73.29	NA	NA	NA
Otu23718	OTUs	Firmicutes;Clostridia;Clostridiales	D25	NA	NA	NA	0	0.006	66.38
Otu23718	OTUs	Firmicutes;Clostridia;Clostridiales	D120	0.0062	0.002	80	0.0304	0.005	58.52
Otu23718	OTUs	Firmicutes;Clostridia;Clostridiales	D240	0	0.003	67.46	0.1568	0.006	48.28
Otu23720	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D25	NA	NA	NA	0	0.004	70.26
Otu23733	OTUs	Bacteria	CC	NA	NA	NA	0.0357	0.002	76.61
Otu23738	OTUs	Firmicutes;Clostridia;Clostridiales	D25	NA	NA	NA	0.1578	0.002	78.45
Otu23751	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D120	0	0.007	33.26	0.0842	0.006	39.01
Otu23751	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D240	0	0.01	21.96	0.0614	0.009	23.88
Otu23751	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	CC	0.0404	0.006	43.49	0	0.006	49.92
Otu23754	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D120	NA	NA	NA	0	0.001	79.01
Otu23771	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D120	NA	NA	NA	0	0.002	77.04
Otu23775	OTUs	Bacteria	D25	NA	NA	NA	0	0.004	72.41
Otu23775	OTUs	Bacteria	D120	NA	NA	NA	0	0.001	79.01
Otu23775	OTUs	Bacteria	D240	NA	NA	NA	0	0.001	79.04
Otu23781	OTUs	Firmicutes;Clostridia;Clostridiales;Christensenellaceae	D25	NA	NA	NA	0.0364	0.006	78.02
Otu23794	OTUs	Lentisphaerae;Lentisphaeria;Z20;R4-45B	D120	NA	NA	NA	0	0.002	72.35
Otu23794	OTUs	Lentisphaerae;Lentisphaeria;Z20;R4-45B	D240	NA	NA	NA	0.0823	0.002	65.98
Otu238	OTUs	Tenericutes;Mollicutes;RF39	D120	0.004	0.003	67.79	NA	NA	NA
Otu238	OTUs	Tenericutes;Mollicutes;RF39	D240	0.035	0.002	78.52	NA	NA	NA
Otu238	OTUs	Tenericutes;Mollicutes;RF39	CC	0	0.002	77.4	NA	NA	NA
Otu23809	OTUs	Bacteria	D120	NA	NA	NA	0	0.001	78.77
Otu23878	OTUs	Firmicutes;Clostridia;Clostridiales	D25	NA	NA	NA	0.132	0.013	71.55
Otu23887	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D120	0.1141	0.006	57.26	0	0.003	63.46
Otu23887	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D240	0.026	0.002	78.04	0.0289	0.002	70.62
Otu23899	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D240	NA	NA	NA	0.0169	0.002	74.91
Otu23907	OTUs	Firmicutes;Clostridia;Clostridiales	D25	NA	NA	NA	0	0.003	78.45
Otu23912	OTUs	Firmicutes;Clostridia;Clostridiales;Christensenellaceae	D120	NA	NA	NA	0.0365	0.002	78.27
Otu23934	OTUs	Bacteria	D25	NA	NA	NA	0	0.004	71.98
Otu23936	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D25	NA	NA	NA	0	0.004	62.93
Otu23936	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D120	NA	NA	NA	0.0541	0.003	59.51
Otu23936	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D240	0.0897	0.002	72.83	0	0.003	62.2
Otu23937	OTUs	Firmicutes;Clostridia;Clostridiales	D25	0	0.008	71.6	0	0.005	68.1
Otu23937	OTUs	Firmicutes;Clostridia;Clostridiales	D120	0.0338	0.008	37.68	0	0.009	35.06
Otu23937	OTUs	Firmicutes;Clostridia;Clostridiales	D240	0.1209	0.016	28.91	0	0.027	12.89
Otu23937	OTUs	Firmicutes;Clostridia;Clostridiales	CC	0	0.019	53.42	0.0001	0.014	44.58
Otu23952	OTUs	Firmicutes;Clostridia;Clostridiales	D25	0	0.002	79.01	0.0097	0.005	78.88
Otu23953	OTUs	Bacteroidetes	D240	NA	NA	NA	0.0748	0.002	77.49
Otu23984	OTUs	Firmicutes;Clostridia;Clostridiales;Christensenellaceae	D120	NA	NA	NA	0.0972	0.002	74.81
Otu23984	OTUs	Firmicutes;Clostridia;Clostridiales;Christensenellaceae	D240	NA	NA	NA	0.0993	0.002	76.46
Otu23995	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D120	NA	NA	NA	0.1694	0.002	66.91
Otu23995	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D240	NA	NA	NA	0.0413	0.003	64.95
Otu24	OTUs	Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	D25	0.4822	0.87	0	0.1687	2.081	1.29
Otu24	OTUs	Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	D120	0.1026	0.839	0.42	0.0597	2.564	0.49
Otu24	OTUs	Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	D240	0.0879	0.86	1.58	0.0679	0.526	5.15
Otu24	OTUs	Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	CC	0.0084	0.172	13.36	0.0974	0.089	27.16
Otu24	OTUs	Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	IC	0.1397	0.114	17.01	0	0.137	28.92
Otu240	OTUs	Verrucomicrobia;Verruco-5;WCHB1-41;RFP12	D120	0.1315	0.058	6.74	0.0522	0.037	21.98
Otu240	OTUs	Verrucomicrobia;Verruco-5;WCHB1-41;RFP12	D240	0.0139	0.062	4.58	0.0128	0.065	2.58
Otu240	OTUs	Verrucomicrobia;Verruco-5;WCHB1-41;RFP12	CC	0	0.094	3.08	0	0.069	8.48
Otu24014	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D120	NA	NA	NA	0.048	0.002	75.06
Otu24016	OTUs	Firmicutes;Clostridia;Clostridiales	D25	NA	NA	NA	0.1183	0.003	75.43
Otu24016	OTUs	Firmicutes;Clostridia;Clostridiales	D120	NA	NA	NA	0.0316	0.002	74.57
Otu24023	OTUs	Spirochaetes;Spirochaetes;Sphaerochaetales;Sphaerochaetaceae	CC	NA	NA	NA	0.0306	0.008	70.02
Otu24037	OTUs	Bacteroidetes	D120	NA	NA	NA	0.0833	0.003	64.2
Otu24042	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D240	NA	NA	NA	0.0337	0.002	71.31
Otu24074	OTUs	Firmicutes;Clostridia;Clostridiales	D120	0	0.002	72.84	0.0083	0.005	47.9
Otu24074	OTUs	Firmicutes;Clostridia;Clostridiales	D240	0	0.004	57.66	0	0.006	36.77
Otu24074	OTUs	Firmicutes;Clostridia;Clostridiales	CC	NA	NA	NA	0.048	0.002	74.1
Otu24080	OTUs	Firmicutes;Clostridia;Clostridiales	D120	NA	NA	NA	0.0365	0.002	73.09
Otu24080	OTUs	Firmicutes;Clostridia;Clostridiales	D240	0.0257	0.002	75.51	0.0093	0.003	66.15
Otu24085	OTUs	Firmicutes;Clostridia;Clostridiales	D120	0.0455	0.002	74.32	0.0508	0.004	59.75
Otu24085	OTUs	Firmicutes;Clostridia;Clostridiales	D240	0	0.002	78.36	0.0218	0.003	68.04
Otu24085	OTUs	Firmicutes;Clostridia;Clostridiales	CC	NA	NA	NA	0	0.001	78.65
Otu24088	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira	CC	NA	NA	NA	0	0.002	71.74
Otu24094	OTUs	Firmicutes;Clostridia;Clostridiales	CC	NA	NA	NA	0	0.004	69.23
Otu241	OTUs	Verrucomicrobia;Verruco-5;WCHB1-41;RFP12	D25	NA	NA	NA	0.0606	0.004	75.86
Otu241	OTUs	Verrucomicrobia;Verruco-5;WCHB1-41;RFP12	D120	0	0.015	22.53	0.0375	0.018	29.63
Otu241	OTUs	Verrucomicrobia;Verruco-5;WCHB1-41;RFP12	D240	0	0.025	15.96	0.1205	0.021	16.67
Otu241	OTUs	Verrucomicrobia;Verruco-5;WCHB1-41;RFP12	CC	0	0.019	23.97	0	0.013	34.07
Otu24162	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D120	0	0.004	54.74	0.0124	0.008	39.01
Otu24162	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D240	0	0.004	57.03	0	0.005	48.97
Otu24162	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	CC	0	0.002	77.05	NA	NA	NA
Otu24180	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D25	NA	NA	NA	0	0.002	78.45
Otu24187	OTUs	Firmicutes;Clostridia;Clostridiales;Mogibacteriaceae;Mogibacterium	D25	0	0.097	16.05	0	0.072	23.71
Otu24187	OTUs	Firmicutes;Clostridia;Clostridiales;Mogibacteriaceae;Mogibacterium	D120	0.1819	0.013	43.58	0.1292	0.025	25.93
Otu24195	OTUs	Synergistetes;Synergistia;Synergistales;Dethiosulfovibrionaceae	D25	0	0.038	69.14	0.1921	0.037	79.31
Otu24196	OTUs	Synergistetes;Synergistia;Synergistales;Dethiosulfovibrionaceae;Pyramidobacter;Pyramidobacter_piscolens	D25	0	0.038	61.73	0	0.129	62.5
Otu24198	OTUs	Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Pseudoramibacter_Eubacterium	D25	0.4008	0.01	74.07	NA	NA	NA
Otu242	OTUs	Spirochaetes;Spirochaetes;Spirochaetales;Spirochaetaceae;Treponema	D120	0.0886	0.003	75.16	0	0.013	57.53
Otu242	OTUs	Spirochaetes;Spirochaetes;Spirochaetales;Spirochaetaceae;Treponema	D240	0.1505	0.011	58.77	0.0971	0.024	39.18
Otu24200	OTUs	Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinivibrio	D120	0	0.007	59.58	0	0.004	70.12
Otu24200	OTUs	Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinivibrio	D240	0.1004	0.027	48.97	0.0547	0.01	58.08
Otu24200	OTUs	Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinivibrio	CC	0.1634	0.034	51.03	NA	NA	NA
Otu24201	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira	D25	0.0026	0.221	13.58	0.0475	0.403	9.91
Otu24201	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira	D120	0.2338	0.03	29.89	0	0.066	5.19
Otu24201	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira	D240	0.1243	0.012	42.18	0.1943	0.008	61.17
Otu24202	OTUs	Lentisphaerae;Lentisphaeria;Victivallales;Victivallaceae	D25	0.2303	0.023	58.02	0	0.023	71.98
Otu24203	OTUs	Cyanobacteria;4C0d-2;YS2	D25	0.4749	0.007	74.07	NA	NA	NA
Otu24203	OTUs	Cyanobacteria;4C0d-2;YS2	D120	0.0453	0.017	48	0	0.008	58.52
Otu24203	OTUs	Cyanobacteria;4C0d-2;YS2	D240	0.0563	0.014	48.34	0.0404	0.005	69.07
Otu24203	OTUs	Cyanobacteria;4C0d-2;YS2	CC	0.0725	0.008	70.55	0	0.006	76.45
Otu24204	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	D240	0.0819	0.002	76.15	NA	NA	NA
Otu24205	OTUs	Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Pseudoramibacter_Eubacterium	D25	0.0865	0.009	60.49	0	0.01	75.43
Otu24206	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	D120	0.2294	0.015	64.84	0.0567	0.025	60.74
Otu24208	OTUs	Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae	D120	0.0459	0.004	78.74	NA	NA	NA
Otu24210	OTUs	TM7;TM7-3;CW040	D25	NA	NA	NA	0.2305	0.004	70.26
Otu24210	OTUs	TM7;TM7-3;CW040	IC	0.1565	0.007	51.39	0	0.015	36.27
Otu24214	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D25	0	0.003	76.54	0.2407	0.009	71.98
Otu24214	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D120	0.1534	0.024	51.58	0.0941	0.028	40.25
Otu24214	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D240	0.162	0.005	69.35	0.1315	0.005	70.79
Otu24215	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D25	0	0.003	72.84	0.273	0.02	61.21
Otu24216	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D120	0.0119	0.009	58.32	0.0798	0.007	63.46
Otu24216	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D240	NA	NA	NA	0	0.002	78.35
Otu24221	OTUs	Chloroflexi;Thermomicrobia;JG30-KF-CM45	IC	0.1859	0.012	65.97	NA	NA	NA
Otu24223	OTUs	Firmicutes;Clostridia;Clostridiales;Mogibacteriaceae;Anaerovorax	D240	NA	NA	NA	0	0.002	73.71
Otu24223	OTUs	Firmicutes;Clostridia;Clostridiales;Mogibacteriaceae;Anaerovorax	CC	0.0207	0.003	69.52	0	0.006	51.49
Otu24225	OTUs	TM7;TM7-3;CW040	IC	NA	NA	NA	0	0.004	74.02
Otu24227	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira	D25	0.2783	0.004	79.01	NA	NA	NA
Otu24230	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D25	NA	NA	NA	0.1082	0.004	79.74
Otu24231	OTUs	Bacteria	D25	0.1749	0.003	76.54	0	0.007	69.83
Otu24231	OTUs	Bacteria	D120	NA	NA	NA	0.0421	0.003	64.44
Otu24231	OTUs	Bacteria	D240	NA	NA	NA	0.0135	0.002	75.77
Otu24232	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira	D25	0	0.006	54.32	0.0846	0.029	35.34
Otu24232	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira	D120	NA	NA	NA	0.051	0.003	61.23
Otu24232	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira	D240	NA	NA	NA	0	0.001	78.87
Otu24235	OTUs	Synergistetes;Synergistia;Synergistales;Dethiosulfovibrionaceae;HA73	IC	0	0.005	79.86	NA	NA	NA
Otu24236	OTUs	Firmicutes;Clostridia;Clostridiales;Mogibacteriaceae	D25	0	0.004	69.14	NA	NA	NA
Otu24241	OTUs	Lentisphaerae;Lentisphaeria;Victivallales;Victivallaceae	D120	0.1697	0.003	70.95	NA	NA	NA
Otu24241	OTUs	Lentisphaerae;Lentisphaeria;Victivallales;Victivallaceae	D240	NA	NA	NA	0.0673	0.003	74.23
Otu24247	OTUs	Firmicutes;Clostridia;Clostridiales	D120	0.1492	0.009	69.89	0.1261	0.007	64.2
Otu24247	OTUs	Firmicutes;Clostridia;Clostridiales	D240	0.114	0.009	57.5	NA	NA	NA
Otu24252	OTUs	Firmicutes;Clostridia;Clostridiales;EtOH8	D25	0	0.006	60.49	0.4397	0.006	64.22
Otu24255	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D25	NA	NA	NA	0.1443	0.03	74.14
Otu24255	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D120	0	0.013	40.84	0	0.013	43.46
Otu24255	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D240	0.0043	0.012	43.92	0	0.009	47.08
Otu24255	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	CC	0	0.056	17.12	0.0021	0.063	19.78
Otu24257	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira	D25	0	0.033	13.58	0.072	0.018	31.47
Otu24257	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira	D120	0.2068	0.15	0	0.2135	0.088	1.23
Otu24257	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira	D240	0.0454	0.085	0.47	0.052	0.059	0.34
Otu24257	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira	CC	0.2116	0.062	3.08	0	0.061	3.92
Otu24262	OTUs	Firmicutes;Clostridia;Clostridiales;Acidaminobacteraceae;Fusibacter	D25	0.0132	0.006	75.31	NA	NA	NA
Otu24263	OTUs	Lentisphaerae;Lentisphaeria;Victivallales;Victivallaceae	D25	0	0.008	40.74	0	0.004	66.38
Otu24263	OTUs	Lentisphaerae;Lentisphaeria;Victivallales;Victivallaceae	D120	0.0474	0.004	56.84	NA	NA	NA
Otu24263	OTUs	Lentisphaerae;Lentisphaeria;Victivallales;Victivallaceae	CC	0	0.006	64.38	0	0.003	71.27
Otu24264	OTUs	Firmicutes;Clostridia;Clostridiales;Mogibacteriaceae	D25	0	0.009	35.8	0	0.006	61.21
Otu24267	OTUs	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	D25	0	0.458	29.63	0.1835	0.403	39.66
Otu24273	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D25	NA	NA	NA	0.059	0.01	64.22
Otu2428	OTUs	Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus_brevis	IC	0.0336	0.615	63.54	NA	NA	NA
Otu24280	OTUs	TM7;TM7-3	D25	0	0.006	79.01	NA	NA	NA
Otu24285	OTUs	Lentisphaerae;Lentisphaeria;Victivallales;Victivallaceae	D240	0.0341	0.002	76.15	0.0843	0.004	67.35
Otu24286	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus	D120	0.0931	0.004	68.42	NA	NA	NA
Otu24286	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus	D240	0.0034	0.004	68.09	0.0402	0.003	71.13
Otu24289	OTUs	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	D25	0	0.011	53.09	0	0.052	24.14
