id	F6-p	F7-p	annotation	group	method	shape
Otu3265	0.1917	0.792	"Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae"	grey	h2-q	Quantitative
Otu709	0.192	0.515	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides_uniformis"	grey	h2-q	Quantitative
Otu4759	0.1921	0.6907	"Bacteria;Verrucomicrobia;Verruco-5;WCHB1-41;RFP12"	grey	h2-q	Quantitative
Otu16760	0.1923	0.5328	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;RF16"	grey	h2-q	Quantitative
Otu994	0.1929	0.3087	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella"	grey	h2-q	Quantitative
Otu8098	0.193	0.9621	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira"	grey	h2-q	Quantitative
Otu28892	0.1932	0.5248	"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Ruminococcus"	grey	h2-q	Quantitative
Otu16365	0.1936	0.9314	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Paraprevotellaceae;YRC22"	grey	h2-q	Quantitative
Otu9823	0.1937	0.4584	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales"	grey	h2-q	Quantitative
Otu19663	0.194	0.4896	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae"	grey	h2-q	Quantitative
Otu682	0.1942	0.9404	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella"	grey	h2-q	Quantitative
Otu30951	0.1944	0.9128	"Bacteria;Proteobacteria;Alphaproteobacteria"	grey	h2-q	Quantitative
Otu654	0.1953	0.2478	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae"	grey	h2-q	Quantitative
Otu17069	0.1956	0.1193	"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae"	grey	h2-q	Quantitative
Otu984	0.1964	0.9592	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella"	grey	h2-q	Quantitative
Otu29101	0.1967	0.06619	"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae"	grey	h2-q	Quantitative
Otu16076	0.1968	0.244	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae"	grey	h2-q	Quantitative
Otu423	0.1975	0.3738	"Bacteria;Tenericutes;Mollicutes;RF39"	grey	h2-q	Quantitative
Otu22453	0.198	0.2062	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae"	grey	h2-q	Quantitative
Otu765	0.198	0.1809	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7"	grey	h2-q	Quantitative
Otu7397	0.1982	0.8711	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae"	grey	h2-q	Quantitative
Otu8768	0.1984	0.9428	"Bacteria;Firmicutes;Clostridia;Clostridiales;Mogibacteriaceae"	grey	h2-q	Quantitative
Otu31719	0.1994	0.8885	"Bacteria;Firmicutes;Clostridia;Clostridiales;Mogibacteriaceae"	grey	h2-q	Quantitative
Otu996	0.1996	0.5708	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella_copri"	grey	h2-q	Quantitative
Otu22042	0.1998	0.1527	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae"	grey	h2-q	Quantitative
Otu15728	0.1999	0.5747	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus"	grey	h2-q	Quantitative
Otu21343	0.2	0.4364	"Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae"	grey	h2-q	Quantitative
Otu29945	0.2001	0.8797	"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae"	grey	h2-q	Quantitative
Otu16252	0.2002	0.4081	"Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae"	grey	h2-q	Quantitative
Otu28568	0.2004	0.771	"Bacteria;Firmicutes;Clostridia;Clostridiales"	grey	h2-q	Quantitative
Otu8771	0.2004	0.3731	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella"	grey	h2-q	Quantitative
Otu16242	0.2008	0.02979	"Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae"	grey	h2-q	Quantitative
Otu21309	0.2008	0.2099	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae"	grey	h2-q	Quantitative
Otu273	0.2008	0.289	"Bacteria;Spirochaetes;Spirochaetes;Spirochaetales;Spirochaetaceae;Treponema"	grey	h2-q	Quantitative
Otu2040	0.2015	0.3419	"Bacteria;Spirochaetes;Spirochaetes;Spirochaetales;Spirochaetaceae;Treponema"	grey	h2-q	Quantitative
Otu27898	0.2017	0.9689	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae"	grey	h2-q	Quantitative
Otu6890	0.2027	0.2741	"Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae"	grey	h2-q	Quantitative
Otu363	0.2031	0.5312	"Bacteria;Tenericutes;Mollicutes;RF39"	grey	h2-q	Quantitative
Otu18009	0.204	0.298	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;RF16"	grey	h2-q	Quantitative
Otu9530	0.2041	0.752	"Bacteria;Firmicutes;Clostridia;Clostridiales"	grey	h2-q	Quantitative
Otu1938	0.2053	0.8515	"Bacteria;Spirochaetes;Spirochaetes;Spirochaetales;Spirochaetaceae;Treponema"	grey	h2-q	Quantitative
Otu800	0.2053	0.4129	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales"	grey	h2-q	Quantitative
Otu22321	0.2057	0.2023	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira"	grey	h2-q	Quantitative
Otu10241	0.2061	0.2048	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales"	grey	h2-q	Quantitative
Otu11000	0.2061	0.4477	"Bacteria;Firmicutes"	grey	h2-q	Quantitative
Otu278	0.2063	0.03655	"Bacteria;Tenericutes;Mollicutes;RF39"	grey	h2-q	Quantitative
Otu23102	0.207	0.8132	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira"	grey	h2-q	Quantitative
Otu4618	0.2072	0.2318	"Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae;Veillonella"	grey	h2-q	Quantitative
Otu16323	0.2075	0.3165	"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae"	grey	h2-q	Quantitative
Otu15864	0.2076	0.005067	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae"	grey	h2-q	Quantitative
Otu1061	0.2081	0.4699	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella"	grey	h2-q	Quantitative
Otu1916	0.2089	0.2589	"Bacteria;Spirochaetes;Spirochaetes;Spirochaetales;Spirochaetaceae;Treponema"	grey	h2-q	Quantitative
Otu17143	0.2091	0.2357	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales"	grey	h2-q	Quantitative
Otu8997	0.2091	0.9378	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae"	grey	h2-q	Quantitative
Otu1505	0.2092	0.6486	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Paraprevotellaceae;YRC22"	grey	h2-q	Quantitative
Otu25058	0.2097	0.1877	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira"	grey	h2-q	Quantitative
Otu21910	0.2099	0.6318	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae"	grey	h2-q	Quantitative
Otu6988	0.21	0.8686	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae"	grey	h2-q	Quantitative
Otu8411	0.21	0.04459	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Paraprevotellaceae;Prevotella"	grey	h2-q	Quantitative
Otu8766	0.21	0.6097	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella"	grey	h2-q	Quantitative
Otu13936	0.2106	0.842	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales"	grey	h2-q	Quantitative
Otu333	0.2106	0.945	"Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;Deferribacteraceae;Mucispirillum;Mucispirillum_schaedleri"	grey	h2-q	Quantitative
Otu10967	0.211	0.313	Bacteria	grey	h2-q	Quantitative
Otu13174	0.2113	0.2544	Bacteria	grey	h2-q	Quantitative
Otu10594	0.2114	0.8442	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella"	grey	h2-q	Quantitative
Otu24263	0.2118	0.2894	"Bacteria;Lentisphaerae;Lentisphaeria;Victivallales;Victivallaceae"	grey	h2-q	Quantitative
Otu10019	0.212	0.2038	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella"	grey	h2-q	Quantitative
Otu12246	0.212	0.549	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales"	grey	h2-q	Quantitative
Otu7123	0.2121	0.9968	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Butyricicoccus;Butyricicoccus_pullicaecorum"	grey	h2-q	Quantitative
Otu22709	0.2123	0.4903	"Bacteria;Firmicutes;Clostridia;Clostridiales"	grey	h2-q	Quantitative
Otu9190	0.2125	0.3805	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira"	grey	h2-q	Quantitative
Otu7026	0.2127	0.09415	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales"	grey	h2-q	Quantitative
Otu22013	0.2135	0.09814	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae"	grey	h2-q	Quantitative
Otu1409	0.2136	0.2588	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales"	grey	h2-q	Quantitative
Otu10896	0.2141	0.8301	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella"	grey	h2-q	Quantitative
Otu17002	0.2141	0.284	"Bacteria;Firmicutes;Clostridia;Clostridiales"	grey	h2-q	Quantitative
Otu7817	0.2142	0.4805	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae"	grey	h2-q	Quantitative
Otu22131	0.2143	0.4111	"Bacteria;Bacteroidetes"	grey	h2-q	Quantitative
Otu15872	0.2144	0.8317	"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae"	grey	h2-q	Quantitative
Otu16255	0.2145	0.1086	"Bacteria;Proteobacteria"	grey	h2-q	Quantitative
Otu29958	0.2145	0.2845	"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae"	grey	h2-q	Quantitative
Otu5816	0.2145	0.007404	"Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae;Phascolarctobacterium"	grey	h2-q	Quantitative
Otu11333	0.2146	0.3	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella"	grey	h2-q	Quantitative
Otu21286	0.2149	0.9338	"Bacteria;Firmicutes;Clostridia;Clostridiales"	grey	h2-q	Quantitative
Otu27620	0.215	0.8683	"Bacteria;Firmicutes;Clostridia;Clostridiales"	grey	h2-q	Quantitative
Otu10599	0.2151	0.8564	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides"	grey	h2-q	Quantitative
Otu15914	0.2151	0.09957	"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae"	grey	h2-q	Quantitative
Otu7775	0.2156	0.5101	"Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinivibrio"	grey	h2-q	Quantitative
Otu9691	0.2158	0.05198	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella"	grey	h2-q	Quantitative
Otu10826	0.2159	0.4004	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales"	grey	h2-q	Quantitative
Otu25118	0.2171	0.7016	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira"	grey	h2-q	Quantitative
Otu16054	0.2173	0.9889	"Bacteria;Cyanobacteria;4C0d-2;YS2"	grey	h2-q	Quantitative
Otu909	0.2174	0.3866	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales"	grey	h2-q	Quantitative
Otu8640	0.2176	0.6241	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides"	grey	h2-q	Quantitative
Otu25496	0.2178	0.5386	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira"	grey	h2-q	Quantitative
Otu30009	0.2179	0.3902	"Bacteria;Firmicutes;Clostridia;Clostridiales"	grey	h2-q	Quantitative
Otu15616	0.218	0.5536	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales"	grey	h2-q	Quantitative
Otu27502	0.2187	0.6904	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae"	grey	h2-q	Quantitative
Otu25603	0.2193	0.5002	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae"	grey	h2-q	Quantitative
Otu9922	0.2201	0.6395	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Paraprevotellaceae;Prevotella"	grey	h2-q	Quantitative
Otu18643	0.2203	0.5851	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Paraprevotellaceae;YRC22"	grey	h2-q	Quantitative
Otu691	0.2205	0.7479	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella"	grey	h2-q	Quantitative
Otu24750	0.2207	0.183	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales"	grey	h2-q	Quantitative
Otu3288	0.2208	0.9866	"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas"	grey	h2-q	Quantitative
Otu7754	0.2208	0.3617	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira"	grey	h2-q	Quantitative
Otu7768	0.2211	0.3953	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira"	grey	h2-q	Quantitative
Otu884	0.2214	0.8005	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales"	grey	h2-q	Quantitative
Otu29284	0.2217	0.02025	"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae"	grey	h2-q	Quantitative
Otu7106	0.2218	0.5523	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Paraprevotellaceae;Prevotella"	grey	h2-q	Quantitative
Otu11052	0.2221	0.6837	"Bacteria;Cyanobacteria;4C0d-2;YS2"	grey	h2-q	Quantitative
Otu21353	0.2224	0.9878	"Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae"	grey	h2-q	Quantitative
Otu4485	0.223	0.9288	"Bacteria;Firmicutes;Bacilli;Turicibacterales;Turicibacteraceae;Turicibacter"	grey	h2-q	Quantitative
Otu24330	0.2231	0.04054	Bacteria	grey	h2-q	Quantitative
Otu254	0.2231	0.9222	"Bacteria;Tenericutes;Mollicutes;RF39"	grey	h2-q	Quantitative
Otu18123	0.2237	0.4023	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales"	grey	h2-q	Quantitative
Otu26607	0.2239	0.9851	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae"	grey	h2-q	Quantitative
Otu12021	0.2244	0.6083	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides"	grey	h2-q	Quantitative
Otu23936	0.2251	0.7533	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae"	grey	h2-q	Quantitative
Otu650	0.2257	0.1145	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella"	grey	h2-q	Quantitative
Otu7205	0.2257	0.006751	"Bacteria;Firmicutes;Clostridia;Clostridiales"	grey	h2-q	Quantitative
Otu28445	0.2258	0.766	"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae"	grey	h2-q	Quantitative
Otu9996	0.2261	0.4523	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides"	grey	h2-q	Quantitative
Otu17025	0.2268	0.2856	"Bacteria;Proteobacteria;Alphaproteobacteria;RF32"	grey	h2-q	Quantitative
Otu9907	0.2275	0.1715	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella"	grey	h2-q	Quantitative
Otu8690	0.2279	0.3821	"Bacteria;Firmicutes;Clostridia;Clostridiales"	grey	h2-q	Quantitative
Otu16351	0.228	0.4636	"Bacteria;Proteobacteria;Alphaproteobacteria;RF32"	grey	h2-q	Quantitative
Otu7160	0.2282	0.6702	"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Pseudobutyrivibrio"	grey	h2-q	Quantitative
Otu20175	0.2283	0.6221	"Bacteria;Thermi;Deinococci;Thermales;Thermaceae;Meiothermus"	grey	h2-q	Quantitative
Otu9352	0.2283	0.9945	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella_copri"	grey	h2-q	Quantitative
Otu29197	0.2292	0.4927	"Bacteria;Firmicutes;Clostridia;Clostridiales"	grey	h2-q	Quantitative
Otu4200	0.2293	0.5728	"Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae"	grey	h2-q	Quantitative
Otu16289	0.2297	0.4543	"Bacteria;Cyanobacteria;4C0d-2;YS2"	grey	h2-q	Quantitative
Otu9860	0.2297	0.6487	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales"	grey	h2-q	Quantitative
Otu15783	0.2298	0.8224	"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae"	grey	h2-q	Quantitative
Otu21563	0.2298	0.648	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae"	grey	h2-q	Quantitative
Otu28536	0.2299	0.463	"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae"	grey	h2-q	Quantitative
Otu9652	0.23	0.4986	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae"	grey	h2-q	Quantitative
Otu16043	0.2304	0.1319	"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae"	grey	h2-q	Quantitative
Otu12577	0.2305	0.155	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella"	grey	h2-q	Quantitative
Otu16347	0.2313	0.949	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Paraprevotellaceae;YRC22"	grey	h2-q	Quantitative
Otu10540	0.2315	0.638	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella"	grey	h2-q	Quantitative
Otu21585	0.2317	0.4997	"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae"	grey	h2-q	Quantitative
Otu24291	0.2319	0.08113	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira"	grey	h2-q	Quantitative
Otu9033	0.2332	0.8904	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Paraprevotellaceae;Prevotella"	grey	h2-q	Quantitative
Otu4552	0.2343	0.5865	"Bacteria;Firmicutes;Bacilli;Turicibacterales;Turicibacteraceae;Turicibacter"	grey	h2-q	Quantitative
Otu109	0.2346	0.3111	"Bacteria;Spirochaetes;Spirochaetes;Spirochaetales;Spirochaetaceae;Treponema"	grey	h2-q	Quantitative
Otu667	0.2349	0.5388	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella"	grey	h2-q	Quantitative
Otu312	0.235	0.4264	"Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus"	grey	h2-q	Quantitative
Otu16152	0.2351	0.1476	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales"	grey	h2-q	Quantitative
Otu1107	0.2357	0.2303	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales"	grey	h2-q	Quantitative
Otu8755	0.2357	0.03665	"Bacteria;Cyanobacteria;4C0d-2;YS2"	grey	h2-q	Quantitative
Otu15259	0.236	0.9591	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella"	grey	h2-q	Quantitative
Otu661	0.2362	0.7882	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides"	grey	h2-q	Quantitative
Otu174	0.2365	0.08218	"Bacteria;Tenericutes;Mollicutes;RF39"	grey	h2-q	Quantitative
Otu10659	0.2366	0.05082	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales"	grey	h2-q	Quantitative
Otu20505	0.2367	0.7202	"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae"	grey	h2-q	Quantitative
Otu173	0.2371	0.6825	"Bacteria;Tenericutes;Mollicutes;RF39"	grey	h2-q	Quantitative
Otu3251	0.2375	0.6005	"Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae"	grey	h2-q	Quantitative
Otu8383	0.2375	0.5256	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales"	grey	h2-q	Quantitative
Otu10314	0.2377	0.855	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales"	grey	h2-q	Quantitative
Otu7781	0.2378	0.8585	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira"	grey	h2-q	Quantitative
Otu22931	0.2379	0.2038	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae"	grey	h2-q	Quantitative
Otu16220	0.2382	0.3241	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus"	grey	h2-q	Quantitative
Otu28700	0.2384	0.01497	"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae"	grey	h2-q	Quantitative
Otu17568	0.2389	0.5095	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales"	grey	h2-q	Quantitative
Otu12015	0.2391	0.4511	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales"	grey	h2-q	Quantitative
Otu6889	0.2393	0.432	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae"	grey	h2-q	Quantitative
Otu29928	0.2395	0.7096	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae"	grey	h2-q	Quantitative
Otu8659	0.2397	0.3448	"Bacteria;Cyanobacteria;4C0d-2;YS2"	grey	h2-q	Quantitative
Otu16147	0.2399	0.617	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae"	grey	h2-q	Quantitative
Otu713	0.2399	0.6101	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7"	grey	h2-q	Quantitative
Otu11102	0.24	0.01781	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales"	grey	h2-q	Quantitative
Otu664	0.2401	0.5204	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides"	grey	h2-q	Quantitative
Otu133	0.2402	0.9837	"Bacteria;Tenericutes;Mollicutes;RF39"	grey	h2-q	Quantitative
Otu1414	0.2413	0.1107	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Paraprevotellaceae;Prevotella"	grey	h2-q	Quantitative
Otu17165	0.2415	0.893	"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae"	grey	h2-q	Quantitative
Otu12955	0.2419	0.8533	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella"	grey	h2-q	Quantitative
Otu10116	0.2423	0.9054	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides"	grey	h2-q	Quantitative
Otu27273	0.2424	0.5972	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Butyricicoccus;Butyricicoccus_pullicaecorum"	grey	h2-q	Quantitative
Otu28479	0.2425	0.8624	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter"	grey	h2-q	Quantitative
Otu16232	0.2427	0.4955	"Bacteria;Cyanobacteria;4C0d-2;YS2"	grey	h2-q	Quantitative
Otu7365	0.243	0.3745	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae"	grey	h2-q	Quantitative
Otu8870	0.2435	0.75	"Bacteria;Firmicutes;Clostridia;Clostridiales"	grey	h2-q	Quantitative
Otu7021	0.2436	0.9109	"Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium"	grey	h2-q	Quantitative
Otu1399	0.2439	0.4578	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Paraprevotellaceae;YRC22"	grey	h2-q	Quantitative
Otu3138	0.2453	0.6752	"Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Ralstonia"	grey	h2-q	Quantitative
Otu50	0.2453	0.7448	"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter"	grey	h2-q	Quantitative
Otu7603	0.2454	0.549	"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae"	grey	h2-q	Quantitative
Otu422	0.2456	0.4776	"Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Ralstonia"	grey	h2-q	Quantitative
Otu10993	0.2458	0.1783	"Bacteria;Firmicutes;Clostridia;Clostridiales"	grey	h2-q	Quantitative
Otu10614	0.2462	0.6584	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella"	grey	h2-q	Quantitative
Otu1027	0.2463	0.3988	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7"	grey	h2-q	Quantitative
Otu9011	0.2465	0.4316	"Bacteria;Firmicutes;Clostridia;Clostridiales"	grey	h2-q	Quantitative
Otu2595	0.2466	0.7868	"Bacteria;Spirochaetes;Spirochaetes;Spirochaetales;Spirochaetaceae;Treponema"	grey	h2-q	Quantitative
Otu31461	0.2467	0.595	"Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae"	grey	h2-q	Quantitative
Otu11358	0.2469	0.6071	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella"	grey	h2-q	Quantitative
Otu15712	0.2469	0.05946	"Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae"	grey	h2-q	Quantitative
Otu9191	0.247	0.5981	"Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae"	grey	h2-q	Quantitative
Otu8697	0.2472	0.7614	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Paraprevotellaceae;Prevotella"	grey	h2-q	Quantitative
Otu10090	0.2475	0.3159	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides"	grey	h2-q	Quantitative
Otu1138	0.2476	0.6358	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7"	grey	h2-q	Quantitative
